Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,00	0,36
100	0,00	0,47
200	0,00	0,56
300	0,00	0,67
400	0,00	0,74
500	0,00	0,85
600	0,00	0,96
700	0,00	1,05
800	0,00	1,14
900	0,00	1,21
1000	0,00	1,32
1100	0,00	1,41
1200	0,00	1,52
1300	0,00	1,61
1400	0,00	1,68
1500	0,00	1,76
1600	0,00	1,87
1700	0,00	1,96
1800	0,00	2,05
1900	0,00	2,12
2000	0,00	2,21
2100	0,00	2,31
2200	0,00	2,38
2300	0,00	2,38
2400	0,00	2,55
2500	0,00	2,64
2600	0,00	2,73
2700	0,00	2,81
2800	0,00	2,90
2900	0,00	2,97
3000	0,00	3,06
3100	0,00	3,14
3200	0,01	3,23
3300	0,00	3,31
3400	0,00	3,40
3500	0,00	3,46
3600	0,00	3,55
3700	0,01	3,62
3800	0,01	3,70
3900	0,00	3,78
4000	0,01	3,87
4100	0,01	3,94
4200	0,01	4,02
4300	0,01	4,09
4400	0,01	4,17
4500	0,01	4,25
4600	0,01	4,32
4700	0,01	4,38
4800	0,01	4,47
4900	0,01	4,55
5000	0,01	4,63
5100	0,02	4,70
5200	0,02	4,78
5300	0,02	4,84
5400	0,02	4,91
5500	0,02	4,99
5600	0,02	5,07
5700	0,03	5,11
5800	0,03	5,20
5900	0,03	5,28
6000	0,03	5,34
6100	0,03	5,41
6200	0,03	5,47
6300	0,03	5,57
6400	0,03	5,63
6500	0,03	5,69
6600	0,03	5,75
6700	0,04	5,82
6800	0,04	5,88
6900	0,04	5,96
7000	0,04	6,02
7100	0,04	6,08
7200	0,04	6,16
7300	0,05	6,23
7400	0,05	6,29
7500	0,05	6,35
7600	0,05	6,42
7700	0,05	6,48
7800	0,06	6,54
7900	0,06	6,60
8000	0,07	6,67
8100	0,07	6,73
8200	0,07	6,79
8300	0,07	6,85
8400	0,07	6,92
8500	0,08	6,98
8600	0,08	7,04
8700	0,08	7,10
8800	0,09	7,16
8900	0,09	7,20
9000	0,09	7,28
9100	0,09	7,32
9200	0,09	7,40
9300	0,10	7,45
9400	0,09	7,52
9500	0,10	7,57
9600	0,10	7,63
9700	0,10	7,69
9800	0,11	7,73
9900	0,11	7,80
10000	0,10	7,86
10100	0,11	7,92
10200	0,11	7,96
10300	0,11	8,04
10400	0,12	8,07
10500	0,12	8,13
10600	0,13	8,17
10700	0,12	8,23
10800	0,13	8,30
10900	0,12	8,36
11000	0,13	8,40
11100	0,13	8,46
11200	0,13	8,45
11300	0,14	8,57
11400	0,14	8,61
11500	0,14	8,67
11600	0,15	8,72
11700	0,15	8,78
11800	0,16	8,84
11900	0,16	8,87
12000	0,16	8,92
12100	0,17	8,98
12200	0,17	9,02
12300	0,17	9,08
12400	0,18	9,11
12500	0,18	9,18
12600	0,19	9,22
12700	0,19	9,28
12800	0,19	9,33
12900	0,20	9,37
13000	0,20	9,43
13100	0,21	9,46
13200	0,21	9,51
13300	0,21	9,57
13400	0,22	9,61
13500	0,22	9,66
13600	0,23	9,71
13700	0,23	9,75
13800	0,23	9,80
13900	0,23	9,84
14000	0,24	9,89
14100	0,24	9,93
14200	0,25	9,99
14300	0,25	10,04
14400	0,25	10,07
14500	0,25	10,12
14600	0,25	10,16
14700	0,26	10,21
14800	0,26	10,25
14900	0,26	10,30
15000	0,26	10,34
15100	0,27	10,37
15200	0,27	10,42
15300	0,27	10,45
15400	0,27	10,51
