Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,21
100	0,01	0,32
200	0,01	0,41
300	0,01	0,52
400	0,01	0,61
500	0,01	0,70
600	0,01	0,79
700	0,01	0,89
800	0,01	0,99
900	0,01	1,08
1000	0,01	1,17
1100	0,01	1,27
1200	0,01	1,35
1300	0,01	1,44
1400	0,01	1,53
1500	0,01	1,62
1600	0,01	1,71
1700	0,01	1,77
1800	0,01	1,90
1900	0,01	1,97
2000	0,02	2,06
2100	0,02	2,15
2200	0,02	2,24
2300	0,02	2,32
2400	0,02	2,41
2500	0,02	2,49
2600	0,02	2,58
2700	0,02	2,67
2800	0,02	2,74
2900	0,02	2,82
3000	0,02	2,91
3100	0,02	2,99
3200	0,02	3,06
3300	0,02	3,15
3400	0,02	3,25
3500	0,03	3,32
3600	0,03	3,40
3700	0,03	3,47
3800	0,03	3,56
3900	0,04	3,64
4000	0,04	3,72
4100	0,04	3,79
4200	0,04	3,87
4300	0,04	3,94
4400	0,04	4,03
4500	0,05	4,09
4600	0,05	4,17
4700	0,05	4,25
4800	0,05	4,34
4900	0,05	4,41
5000	0,06	4,49
5100	0,06	4,55
5200	0,06	4,63
5300	0,06	4,70
5400	0,07	4,78
5500	0,07	4,85
5600	0,07	4,91
5700	0,07	4,99
5800	0,07	5,07
5900	0,07	5,14
6000	0,07	5,20
6100	0,08	5,28
6200	0,08	5,34
6300	0,08	5,41
6400	0,08	5,47
6500	0,08	5,55
6600	0,08	5,63
6700	0,09	5,69
6800	0,09	5,75
6900	0,09	5,82
7000	0,09	5,88
7100	0,10	5,94
7200	0,10	6,02
7300	0,10	6,08
7400	0,11	6,14
7500	0,12	6,22
7600	0,12	6,28
7700	0,13	6,34
7800	0,13	6,40
7900	0,14	6,48
8000	0,15	6,54
8100	0,16	6,60
8200	0,17	6,67
8300	0,17	6,73
8400	0,18	6,79
8500	0,19	6,85
8600	0,20	6,90
8700	0,21	6,96
8800	0,21	7,04
8900	0,22	7,08
9000	0,22	7,14
9100	0,23	7,20
9200	0,23	7,26
9300	0,23	7,32
9400	0,23	7,39
9500	0,23	7,45
9600	0,23	7,51
9700	0,24	7,55
9800	0,24	7,61
9900	0,24	7,66
10000	0,24	7,73
10100	0,24	7,78
10200	0,25	7,84
10300	0,25	7,98
10400	0,25	7,95
10500	0,25	8,01
10600	0,25	8,05
10700	0,25	8,13
10800	0,25	8,17
10900	0,25	8,22
11000	0,26	8,28
11100	0,26	8,34
11200	0,26	8,39
11300	0,27	8,45
11400	0,27	8,49
11500	0,27	8,54
11600	0,28	8,60
11700	0,29	8,66
11800	0,30	8,71
11900	0,31	8,75
12000	0,32	8,81
12100	0,33	8,86
12200	0,34	8,90
12300	0,35	8,95
12400	0,36	8,99
12500	0,37	9,05
12600	0,39	9,10
12700	0,40	9,14
12800	0,42	9,22
12900	0,43	9,27
13000	0,44	9,31
13100	0,45	9,36
13200	0,47	9,39
13300	0,48	9,45
13400	0,49	9,51
13500	0,51	9,54
13600	0,51	9,58
13700	0,52	9,65
13800	0,53	9,68
13900	0,53	9,74
14000	0,54	9,77
14100	0,54	9,83
14200	0,54	9,86
14300	0,55	9,90
14400	0,55	9,95
14500	0,55	9,99
14600	0,55	10,04
14700	0,55	10,09
14800	0,55	10,13
14900	0,55	10,18
15000	0,55	10,22
15100	0,55	10,27
15200	0,55	10,31
15300	0,55	10,34
15400	0,55	10,39
