Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,35
100	0,01	0,45
200	0,01	0,55
300	0,01	0,65
400	0,01	0,74
500	0,01	0,83
600	0,01	0,93
700	0,01	1,06
800	0,01	1,09
900	0,01	1,20
1000	0,01	1,29
1100	0,01	1,38
1200	0,01	1,47
1300	0,01	1,58
1400	0,01	1,65
1500	0,01	1,74
1600	0,01	1,84
1700	0,01	1,91
1800	0,01	2,02
1900	0,01	2,09
2000	0,01	2,17
2100	0,01	2,26
2200	0,01	2,35
2300	0,01	2,44
2400	0,01	2,52
2500	0,01	2,61
2600	0,01	2,68
2700	0,01	2,78
2800	0,01	2,85
2900	0,01	2,96
3000	0,01	3,02
3100	0,01	3,09
3200	0,02	3,17
3300	0,02	3,26
3400	0,01	3,34
3500	0,01	3,41
3600	0,02	3,50
3700	0,01	3,56
3800	0,02	3,64
3900	0,02	3,73
4000	0,02	3,81
4100	0,02	3,88
4200	0,02	3,96
4300	0,02	4,03
4400	0,02	4,13
4500	0,02	4,19
4600	0,02	4,26
4700	0,03	4,34
4800	0,03	4,41
4900	0,03	4,49
5000	0,03	4,56
5100	0,03	4,63
5200	0,03	4,70
5300	0,03	4,78
5400	0,03	4,84
5500	0,04	4,91
5600	0,03	4,97
5700	0,03	5,05
5800	0,03	5,13
5900	0,03	5,20
6000	0,03	5,26
6100	0,04	5,34
6200	0,03	5,40
6300	0,04	5,46
6400	0,04	5,54
6500	0,04	5,61
6600	0,04	5,67
6700	0,04	5,73
6800	0,04	5,81
6900	0,04	5,85
7000	0,04	5,93
7100	0,04	6,01
7200	0,04	6,07
7300	0,04	6,14
7400	0,04	6,20
7500	0,05	6,26
7600	0,05	6,32
7700	0,05	6,38
7800	0,05	6,45
7900	0,06	6,52
8000	0,06	6,58
8100	0,06	6,63
8200	0,07	6,70
8300	0,07	6,76
8400	0,07	6,82
8500	0,08	6,89
8600	0,08	6,93
8700	0,08	6,99
8800	0,08	7,07
8900	0,09	7,11
9000	0,09	7,17
9100	0,09	7,23
9200	0,09	7,28
9300	0,09	7,34
9400	0,09	7,40
9500	0,09	7,46
9600	0,09	7,52
9700	0,09	7,58
9800	0,09	7,64
9900	0,09	7,69
10000	0,09	7,75
10100	0,09	7,80
10200	0,09	7,86
10300	0,09	7,90
10400	0,09	7,96
10500	0,09	8,02
10600	0,09	8,08
10700	0,09	8,13
10800	0,09	8,17
10900	0,09	8,23
11000	0,09	8,28
11100	0,09	8,33
11200	0,09	8,39
11300	0,09	8,43
11400	0,09	8,49
11500	0,09	8,54
11600	0,10	8,60
11700	0,10	8,64
11800	0,10	8,71
11900	0,10	8,74
12000	0,11	8,78
12100	0,11	8,84
12200	0,11	8,89
12300	0,12	8,93
12400	0,12	8,99
12500	0,13	9,04
12600	0,13	9,10
12700	0,14	9,13
12800	0,14	9,18
12900	0,15	9,22
13000	0,16	9,28
13100	0,16	9,34
13200	0,17	9,37
13300	0,17	9,42
13400	0,17	9,46
13500	0,18	9,51
13600	0,18	9,57
13700	0,19	9,60
13800	0,19	9,65
13900	0,19	9,71
14000	0,19	9,74
14100	0,19	9,78
14200	0,19	9,83
14300	0,19	9,86
14400	0,19	9,90
14500	0,19	9,95
14600	0,20	9,99
14700	0,20	10,04
14800	0,19	10,09
14900	0,19	10,13
15000	0,20	10,18
15100	0,19	10,21
15200	0,19	10,25
15300	0,19	10,30
15400	0,19	10,34
