Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,21
100	0,01	0,32
200	0,01	0,41
300	0,01	0,50
400	0,01	0,61
500	0,01	0,68
600	0,01	0,79
700	0,00	0,88
800	0,01	0,97
900	0,01	1,08
1000	0,00	1,15
1100	0,00	1,24
1200	0,01	1,33
1300	0,01	1,44
1400	0,01	1,52
1500	0,01	1,62
1600	0,01	1,70
1700	0,01	1,79
1800	0,01	1,88
1900	0,01	1,97
2000	0,01	2,06
2100	0,01	2,14
2200	0,01	2,21
2300	0,01	2,31
2400	0,01	2,40
2500	0,01	2,47
2600	0,01	2,56
2700	0,01	2,65
2800	0,01	2,73
2900	0,02	2,82
3000	0,01	2,91
3100	0,01	2,97
3200	0,02	3,06
3300	0,02	3,14
3400	0,02	3,22
3500	0,02	3,31
3600	0,02	3,37
3700	0,02	3,46
3800	0,02	3,55
3900	0,02	3,61
4000	0,03	3,69
4100	0,02	3,78
4200	0,03	3,85
4300	0,03	3,91
4400	0,03	4,00
4500	0,03	4,08
4600	0,03	4,16
4700	0,04	4,22
4800	0,04	4,31
4900	0,03	4,38
5000	0,04	4,44
5100	0,04	4,52
5200	0,05	4,60
5300	0,05	4,66
5400	0,05	4,75
5500	0,05	4,81
5600	0,05	4,88
5700	0,05	4,94
5800	0,05	5,02
5900	0,05	5,10
6000	0,05	5,16
6100	0,05	5,23
6200	0,05	5,29
6300	0,05	5,37
6400	0,06	5,44
6500	0,05	5,51
6600	0,06	5,57
6700	0,05	5,64
6800	0,06	5,70
6900	0,06	5,78
7000	0,06	5,84
7100	0,06	5,90
7200	0,05	5,96
7300	0,06	6,04
7400	0,06	6,10
7500	0,07	6,17
7600	0,07	6,23
7700	0,07	6,28
7800	0,08	6,35
7900	0,09	6,43
8000	0,09	6,48
8100	0,09	6,55
8200	0,10	6,60
8300	0,11	6,61
8400	0,11	6,75
8500	0,12	6,70
8600	0,12	6,85
8700	0,13	6,92
8800	0,13	6,96
8900	0,14	7,04
9000	0,14	7,08
9100	0,14	7,16
9200	0,14	7,20
9300	0,15	7,26
9400	0,15	7,32
9500	0,15	7,37
9600	0,15	7,43
9700	0,15	7,51
9800	0,15	7,55
9900	0,15	7,61
10000	0,15	7,66
10100	0,15	7,72
10200	0,15	7,78
10300	0,15	7,83
10400	0,15	7,89
10500	0,15	7,93
10600	0,15	8,01
10700	0,15	8,05
10800	0,15	8,11
10900	0,15	8,16
11000	0,15	8,20
11100	0,15	8,27
11200	0,15	8,31
11300	0,15	8,37
11400	0,15	8,42
11500	0,15	8,48
11600	0,15	8,52
11700	0,15	8,57
11800	0,16	8,63
11900	0,16	8,67
12000	0,16	8,72
12100	0,17	8,78
12200	0,17	8,83
12300	0,18	8,87
12400	0,19	8,92
12500	0,19	8,98
12600	0,20	9,02
12700	0,21	9,08
12800	0,22	9,11
12900	0,23	9,18
13000	0,24	9,22
13100	0,25	9,27
13200	0,26	9,31
13300	0,27	9,36
13400	0,28	9,40
13500	0,29	9,46
13600	0,30	9,51
13700	0,31	9,54
13800	0,31	9,58
13900	0,32	9,63
14000	0,33	9,68
14100	0,33	9,72
14200	0,33	9,77
14300	0,34	9,83
14400	0,34	9,86
14500	0,34	9,90
14600	0,34	9,95
14700	0,34	9,99
14800	0,35	10,02
14900	0,35	10,07
15000	0,35	10,12
15100	0,34	10,16
15200	0,35	10,21
15300	0,34	10,25
15400	0,34	10,28
