Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,30
100	0,02	0,42
200	0,01	0,50
300	0,01	0,61
400	0,01	0,70
500	0,01	0,80
600	0,01	0,89
700	0,01	0,99
800	0,01	1,08
900	0,01	1,17
1000	0,02	1,26
1100	0,02	1,35
1200	0,02	1,44
1300	0,02	1,55
1400	0,02	1,64
1500	0,02	1,73
1600	0,02	1,82
1700	0,02	1,90
1800	0,02	1,99
1900	0,03	2,08
2000	0,03	2,15
2100	0,03	2,24
2200	0,03	2,34
2300	0,03	2,43
2400	0,03	2,50
2500	0,03	2,59
2600	0,04	2,68
2700	0,04	2,76
2800	0,04	2,84
2900	0,04	2,93
3000	0,04	3,00
3100	0,04	3,09
3200	0,05	3,17
3300	0,05	3,26
3400	0,05	3,34
3500	0,06	3,41
3600	0,07	3,50
3700	0,07	3,56
3800	0,07	3,64
3900	0,07	3,73
4000	0,08	3,81
4100	0,09	3,88
4200	0,09	3,96
4300	0,10	4,03
4400	0,11	4,13
4500	0,12	4,19
4600	0,12	4,28
4700	0,13	4,44
4800	0,13	4,43
4900	0,14	4,49
5000	0,15	4,56
5100	0,15	4,64
5200	0,16	4,72
5300	0,16	4,79
5400	0,16	4,87
5500	0,17	4,94
5600	0,17	5,00
5700	0,18	5,07
5800	0,19	5,14
5900	0,19	5,22
6000	0,19	5,29
6100	0,20	5,35
6200	0,20	5,41
6300	0,21	5,49
6400	0,21	5,57
6500	0,23	5,63
6600	0,23	5,70
6700	0,24	5,76
6800	0,25	5,84
6900	0,26	5,90
7000	0,27	5,96
7100	0,28	6,04
7200	0,29	6,10
7300	0,30	6,16
7400	0,31	6,22
7500	0,32	6,29
7600	0,34	6,35
7700	0,35	6,43
7800	0,37	6,49
7900	0,39	6,55
8000	0,40	6,61
8100	0,42	6,67
8200	0,44	6,73
8300	0,45	6,79
8400	0,47	6,87
8500	0,48	6,92
8600	0,49	6,98
8700	0,50	7,04
8800	0,51	7,10
8900	0,51	7,17
9000	0,51	7,23
9100	0,51	7,29
9200	0,51	7,34
9300	0,51	7,40
9400	0,51	7,46
9500	0,51	7,52
9600	0,51	7,58
9700	0,51	7,64
9800	0,51	7,69
9900	0,52	7,75
10000	0,52	7,81
10100	0,52	7,87
10200	0,53	7,92
10300	0,53	7,98
10400	0,54	8,02
10500	0,54	8,08
10600	0,55	8,14
10700	0,55	8,19
10800	0,56	8,25
10900	0,57	8,30
11000	0,58	8,36
11100	0,59	8,42
11200	0,60	8,48
11300	0,61	8,52
11400	0,63	8,57
11500	0,64	8,63
11600	0,66	8,67
11700	0,67	8,72
11800	0,69	8,78
11900	0,71	8,83
12000	0,73	8,87
12100	0,75	8,93
12200	0,77	8,98
12300	0,80	9,04
12400	0,82	9,08
12500	0,84	9,11
12600	0,87	9,18
12700	0,90	9,22
12800	0,92	9,27
12900	0,94	9,33
13000	0,97	9,37
13100	0,99	9,42
13200	1,01	9,46
13300	1,03	9,51
13400	1,05	9,57
13500	1,06	9,61
13600	1,08	9,68
13700	1,09	9,72
13800	1,10	9,75
13900	1,11	9,81
14000	1,12	9,86
14100	1,13	9,89
14200	1,13	9,95
14300	1,13	9,99
14400	1,14	10,04
14500	1,14	10,09
14600	1,14	10,12
14700	1,15	10,18
14800	1,15	10,22
14900	1,16	10,25
15000	1,16	10,30
15100	1,16	10,33
15200	1,17	10,37
15300	1,17	10,43
15400	1,18	10,46
