Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,21
100	0,01	0,30
200	0,01	0,41
300	0,01	0,50
400	0,01	0,61
500	0,01	0,70
600	0,01	0,80
700	0,01	0,88
800	0,01	0,99
900	0,01	1,08
1000	0,01	1,17
1100	0,01	1,26
1200	0,01	1,35
1300	0,01	1,44
1400	0,01	1,55
1500	0,01	1,62
1600	0,01	1,71
1700	0,01	1,80
1800	0,01	1,90
1900	0,01	1,99
2000	0,01	2,08
2100	0,01	2,15
2200	0,01	2,24
2300	0,01	2,32
2400	0,01	2,43
2500	0,01	2,49
2600	0,01	2,59
2700	0,01	2,67
2800	0,01	2,76
2900	0,01	2,84
3000	0,02	2,91
3100	0,01	3,00
3200	0,02	3,09
3300	0,01	3,17
3400	0,02	3,25
3500	0,01	3,34
3600	0,02	3,41
3700	0,01	3,49
3800	0,02	3,56
3900	0,02	3,65
4000	0,02	3,73
4100	0,02	3,81
4200	0,02	3,88
4300	0,02	3,97
4400	0,02	4,05
4500	0,02	4,11
4600	0,02	4,20
4700	0,02	4,28
4800	0,02	4,34
4900	0,02	4,43
5000	0,03	4,50
5100	0,02	4,58
5200	0,03	4,64
5300	0,03	4,72
5400	0,03	4,79
5500	0,03	4,85
5600	0,03	4,93
5700	0,03	5,00
5800	0,03	5,08
5900	0,03	5,14
6000	0,04	5,22
6100	0,04	5,29
6200	0,04	5,35
6300	0,04	5,43
6400	0,04	5,49
6500	0,04	5,57
6600	0,04	5,63
6700	0,05	5,70
6800	0,05	5,76
6900	0,05	5,82
7000	0,05	5,90
7100	0,05	5,96
7200	0,05	6,02
7300	0,05	6,10
7400	0,05	6,16
7500	0,05	6,23
7600	0,05	6,29
7700	0,05	6,35
7800	0,06	6,42
7900	0,06	6,49
8000	0,06	6,55
8100	0,06	6,61
8200	0,06	6,67
8300	0,07	6,73
8400	0,07	6,79
8500	0,07	6,85
8600	0,07	6,92
8700	0,07	6,98
8800	0,08	7,04
8900	0,08	7,10
9000	0,08	7,16
9100	0,09	7,22
9200	0,09	7,28
9300	0,09	7,34
9400	0,10	7,40
9500	0,10	7,45
9600	0,10	7,52
9700	0,10	7,57
9800	0,11	7,63
9900	0,11	7,69
10000	0,12	7,75
10100	0,12	7,80
10200	0,12	7,86
10300	0,13	7,90
10400	0,13	7,96
10500	0,13	8,01
10600	0,13	8,07
10700	0,13	8,13
10800	0,13	8,17
10900	0,14	8,23
11000	0,14	8,30
11100	0,14	8,36
11200	0,14	8,40
11300	0,15	8,45
11400	0,15	8,51
11500	0,15	8,55
11600	0,15	8,61
11700	0,15	8,64
11800	0,15	8,71
11900	0,16	8,77
12000	0,16	8,81
12100	0,16	8,87
12200	0,16	8,90
12300	0,17	8,96
12400	0,17	9,01
12500	0,18	9,05
12600	0,18	9,11
12700	0,18	9,16
12800	0,18	9,22
12900	0,19	9,25
13000	0,20	9,31
13100	0,20	9,36
13200	0,21	9,42
13300	0,21	9,46
13400	0,22	9,49
13500	0,22	9,54
13600	0,23	9,60
13700	0,23	9,65
13800	0,24	9,69
13900	0,24	9,74
14000	0,25	9,78
14100	0,26	9,83
14200	0,26	9,87
14300	0,27	9,92
14400	0,27	9,96
14500	0,28	10,01
14600	0,28	10,05
14700	0,29	10,10
14800	0,29	10,13
14900	0,29	10,19
15000	0,30	10,22
15100	0,30	10,27
15200	0,31	10,31
15300	0,31	10,36
15400	0,31	10,40
