Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,32
100	0,00	0,41
200	0,00	0,52
300	0,01	0,61
400	0,01	0,70
500	0,01	0,80
600	0,01	0,89
700	0,01	0,99
800	0,01	1,08
900	0,01	1,17
1000	0,01	1,20
1100	0,01	1,35
1200	0,01	1,46
1300	0,01	1,53
1400	0,01	1,62
1500	0,01	1,71
1600	0,01	1,80
1700	0,01	1,88
1800	0,01	1,97
1900	0,01	2,06
2000	0,01	2,15
2100	0,01	2,24
2200	0,01	2,34
2300	0,01	2,41
2400	0,01	2,47
2500	0,02	2,58
2600	0,01	2,67
2700	0,01	2,74
2800	0,01	2,82
2900	0,01	2,91
3000	0,01	2,99
3100	0,01	3,08
3200	0,01	3,15
3300	0,01	3,23
3400	0,01	3,31
3500	0,01	3,40
3600	0,01	3,49
3700	0,01	3,56
3800	0,01	3,64
3900	0,01	3,70
4000	0,01	3,79
4100	0,01	3,88
4200	0,01	3,94
4300	0,01	4,03
4400	0,01	4,09
4500	0,01	4,17
4600	0,01	4,25
4700	0,01	4,32
4800	0,01	4,40
4900	0,01	4,47
5000	0,01	4,55
5100	0,01	4,61
5200	0,01	4,70
5300	0,01	4,76
5400	0,01	4,84
5500	0,01	4,91
5600	0,01	4,97
5700	0,01	5,03
5800	0,01	5,13
5900	0,01	5,19
6000	0,01	5,26
6100	0,01	5,32
6200	0,01	5,40
6300	0,01	5,46
6400	0,01	5,54
6500	0,02	5,60
6600	0,02	5,67
6700	0,01	5,75
6800	0,02	5,81
6900	0,01	5,88
7000	0,02	5,94
7100	0,02	6,01
7200	0,01	6,07
7300	0,02	6,14
7400	0,02	6,19
7500	0,02	6,26
7600	0,02	6,32
7700	0,02	6,40
7800	0,01	6,45
7900	0,02	6,52
8000	0,02	6,58
8100	0,02	6,64
8200	0,02	6,70
8300	0,02	6,76
8400	0,02	6,82
8500	0,02	6,89
8600	0,02	6,95
8700	0,02	7,01
8800	0,02	7,07
8900	0,02	7,13
9000	0,02	7,19
9100	0,02	7,25
9200	0,02	7,31
9300	0,02	7,37
9400	0,02	7,43
9500	0,02	7,49
9600	0,02	7,54
9700	0,02	7,60
9800	0,02	7,66
9900	0,02	7,72
10000	0,02	7,76
10100	0,02	7,83
10200	0,02	7,89
10300	0,02	7,95
10400	0,03	7,99
10500	0,03	8,05
10600	0,03	8,10
10700	0,03	8,16
10800	0,03	8,22
10900	0,03	8,27
11000	0,03	8,31
11100	0,03	8,37
11200	0,03	8,43
11300	0,03	8,49
11400	0,03	8,52
11500	0,03	8,58
11600	0,03	8,63
11700	0,03	8,69
11800	0,03	8,74
11900	0,03	8,78
12000	0,03	8,84
12100	0,03	8,90
12200	0,03	8,93
12300	0,03	8,99
12400	0,03	9,04
12500	0,03	9,08
12600	0,03	9,14
12700	0,03	9,21
12800	0,03	9,24
12900	0,03	9,30
13000	0,03	9,34
13100	0,03	9,39
13200	0,03	9,43
13300	0,03	9,48
13400	0,03	9,52
13500	0,03	9,58
13600	0,03	9,63
13700	0,03	9,66
13800	0,03	9,71
13900	0,04	9,77
14000	0,04	9,80
14100	0,03	9,86
14200	0,04	9,89
14300	0,04	9,95
14400	0,04	9,99
14500	0,04	10,02
14600	0,03	10,09
14700	0,04	10,12
14800	0,04	10,16
14900	0,04	10,21
15000	0,04	10,25
15100	0,04	10,30
15200	0,04	10,34
15300	0,04	10,39
15400	0,04	10,43
