Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,24
100	0,01	0,36
200	0,01	0,47
300	0,01	0,55
400	0,01	0,64
500	0,01	0,74
600	0,01	0,83
700	0,01	0,93
800	0,01	1,03
900	0,02	1,12
1000	0,02	1,21
1100	0,02	1,30
1200	0,02	1,40
1300	0,02	1,47
1400	0,02	1,58
1500	0,03	1,67
1600	0,03	1,76
1700	0,03	1,84
1800	0,03	1,94
1900	0,03	2,02
2000	0,04	2,09
2100	0,04	2,20
2200	0,04	2,29
2300	0,04	2,37
2400	0,05	2,44
2500	0,04	2,55
2600	0,05	2,62
2700	0,05	2,70
2800	0,06	2,79
2900	0,06	2,88
3000	0,06	2,96
3100	0,07	3,03
3200	0,07	3,11
3300	0,07	3,20
3400	0,08	3,29
3500	0,09	3,35
3600	0,09	3,44
3700	0,09	3,52
3800	0,10	3,59
3900	0,11	3,69
4000	0,12	3,76
4100	0,13	3,84
4200	0,14	3,91
4300	0,15	3,99
4400	0,16	4,08
4500	0,18	4,14
4600	0,19	4,22
4700	0,19	4,31
4800	0,20	4,37
4900	0,22	4,44
5000	0,22	4,52
5100	0,23	4,60
5200	0,24	4,67
5300	0,25	4,73
5400	0,25	4,81
5500	0,27	4,90
5600	0,27	4,96
5700	0,28	5,02
5800	0,29	5,10
5900	0,29	5,17
6000	0,30	5,23
6100	0,31	5,31
6200	0,32	5,38
6300	0,32	5,46
6400	0,33	5,52
6500	0,34	5,60
6600	0,35	5,66
6700	0,35	5,72
6800	0,36	5,79
6900	0,37	5,85
7000	0,38	5,93
7100	0,39	5,99
7200	0,40	6,05
7300	0,41	6,13
7400	0,43	6,19
7500	0,44	6,25
7600	0,46	6,31
7700	0,48	6,38
7800	0,50	6,45
7900	0,52	6,51
8000	0,54	6,57
8100	0,57	6,63
8200	0,60	6,70
8300	0,62	6,75
8400	0,64	6,82
8500	0,66	6,89
8600	0,68	6,95
8700	0,70	7,01
8800	0,72	7,07
8900	0,74	7,13
9000	0,76	7,17
9100	0,77	7,25
9200	0,78	7,29
9300	0,80	7,36
9400	0,81	7,42
9500	0,82	7,48
9600	0,83	7,54
9700	0,83	7,60
9800	0,84	7,64
9900	0,85	7,72
10000	0,86	7,76
10100	0,87	7,83
10200	0,88	7,89
10300	0,90	7,95
10400	0,91	7,99
10500	0,92	8,05
10600	0,94	8,11
10700	0,95	8,17
10800	0,97	8,22
10900	0,98	8,27
11000	1,00	8,33
11100	1,02	8,39
11200	1,04	8,43
11300	1,06	8,48
11400	1,08	8,52
11500	1,11	8,58
11600	1,14	8,63
11700	1,16	8,69
11800	1,19	8,75
11900	1,22	8,80
12000	1,25	8,86
12100	1,28	8,90
12200	1,32	8,95
12300	1,35	8,99
12400	1,39	9,04
12500	1,43	9,10
12600	1,47	9,14
12700	1,52	9,21
12800	1,56	9,25
12900	1,60	9,30
13000	1,64	9,34
13100	1,69	9,39
13200	1,74	9,45
13300	1,78	9,48
13400	1,82	9,52
13500	1,85	9,58
13600	1,88	9,63
13700	1,91	9,69
13800	1,94	9,72
13900	1,96	9,77
14000	1,98	9,81
14100	2,00	9,86
14200	2,02	9,90
14300	2,03	9,95
14400	2,05	9,99
14500	2,06	10,05
14600	2,07	10,09
14700	2,08	10,13
14800	2,09	10,18
14900	2,09	10,21
15000	2,10	10,27
15100	2,11	10,31
15200	2,12	10,36
15300	2,13	10,39
15400	2,13	10,43
