Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,32
100	0,01	0,42
200	0,01	0,52
300	0,01	0,61
400	0,01	0,70
500	0,01	0,80
600	0,01	0,89
700	0,01	0,99
800	0,01	1,09
900	0,01	1,17
1000	0,02	1,26
1100	0,01	1,35
1200	0,02	1,46
1300	0,02	1,53
1400	0,02	1,64
1500	0,02	1,71
1600	0,02	1,80
1700	0,02	1,88
1800	0,02	1,99
1900	0,02	2,06
2000	0,03	2,15
2100	0,02	2,24
2200	0,03	2,34
2300	0,03	2,41
2400	0,03	2,49
2500	0,03	2,58
2600	0,03	2,67
2700	0,03	2,76
2800	0,04	2,82
2900	0,04	2,91
3000	0,04	2,99
3100	0,04	3,08
3200	0,04	3,15
3300	0,04	3,25
3400	0,04	3,31
3500	0,05	3,40
3600	0,05	3,49
3700	0,05	3,53
3800	0,05	3,64
3900	0,06	3,72
4000	0,06	3,79
4100	0,07	3,87
4200	0,07	3,96
4300	0,07	4,02
4400	0,08	4,09
4500	0,09	4,17
4600	0,09	4,25
4700	0,10	4,32
4800	0,10	4,40
4900	0,11	4,47
5000	0,11	4,53
5100	0,12	4,61
5200	0,12	4,69
5300	0,12	4,76
5400	0,13	4,84
5500	0,13	4,91
5600	0,13	4,99
5700	0,13	5,03
5800	0,13	5,13
5900	0,14	5,19
6000	0,14	5,26
6100	0,14	5,34
6200	0,15	5,40
6300	0,15	5,46
6400	0,15	5,54
6500	0,15	5,60
6600	0,15	5,67
6700	0,16	5,73
6800	0,17	5,81
6900	0,17	5,87
7000	0,17	5,94
7100	0,18	6,01
7200	0,19	6,08
7300	0,20	6,13
7400	0,21	6,20
7500	0,22	6,26
7600	0,23	6,32
7700	0,24	6,40
7800	0,25	6,45
7900	0,27	6,52
8000	0,28	6,58
8100	0,30	6,64
8200	0,31	6,70
8300	0,32	6,78
8400	0,33	6,82
8500	0,35	6,89
8600	0,36	6,95
8700	0,37	7,01
8800	0,38	7,07
8900	0,38	7,14
9000	0,39	7,19
9100	0,40	7,25
9200	0,40	7,31
9300	0,40	7,37
9400	0,41	7,42
9500	0,41	7,48
9600	0,41	7,55
9700	0,41	7,61
9800	0,41	7,66
9900	0,41	7,72
10000	0,41	7,78
10100	0,41	7,84
10200	0,41	7,89
10300	0,41	7,95
10400	0,41	8,01
10500	0,42	8,05
10600	0,42	8,11
10700	0,42	8,16
10800	0,42	8,22
10900	0,43	8,27
11000	0,43	8,33
11100	0,44	8,39
11200	0,45	8,43
11300	0,45	8,49
11400	0,46	8,54
11500	0,47	8,60
11600	0,48	8,64
11700	0,50	8,69
11800	0,51	8,75
11900	0,52	8,80
12000	0,54	8,86
12100	0,55	8,90
12200	0,57	8,95
12300	0,59	8,99
12400	0,61	9,05
12500	0,63	9,10
12600	0,65	9,14
12700	0,68	9,21
12800	0,70	9,25
12900	0,73	9,28
13000	0,75	9,34
13100	0,78	9,39
13200	0,80	9,45
13300	0,82	9,48
13400	0,84	9,52
13500	0,86	9,58
13600	0,87	9,63
13700	0,88	9,68
13800	0,90	9,72
13900	0,91	9,77
14000	0,91	9,81
14100	0,92	9,86
14200	0,92	9,90
14300	0,93	9,95
14400	0,93	9,99
14500	0,93	10,02
14600	0,93	10,07
14700	0,93	10,12
14800	0,93	10,18
14900	0,93	10,21
15000	0,92	10,25
15100	0,92	10,30
15200	0,92	10,34
15300	0,92	10,39
15400	0,92	10,43
