Time	Analog in 1	Analog in 2
t/ms	U1/V	U2/V

0	0,01	0,26
100	0,01	0,35
200	0,01	0,45
300	0,01	0,55
400	0,01	0,65
500	0,01	0,76
600	0,01	0,83
700	0,01	0,94
800	0,01	1,03
900	0,01	1,12
1000	0,01	1,21
1100	0,01	1,30
1200	0,01	1,40
1300	0,01	1,49
1400	0,01	1,58
1500	0,01	1,67
1600	0,01	1,76
1700	0,01	1,85
1800	0,02	1,94
1900	0,02	2,02
2000	0,02	2,12
2100	0,02	2,21
2200	0,02	2,29
2300	0,02	2,38
2400	0,02	2,47
2500	0,02	2,55
2600	0,02	2,64
2700	0,02	2,71
2800	0,02	2,81
2900	0,02	2,90
3000	0,02	2,97
3100	0,02	3,06
3200	0,02	3,14
3300	0,02	3,23
3400	0,02	3,31
3500	0,02	3,40
3600	0,03	3,46
3700	0,03	3,55
3800	0,03	3,64
3900	0,03	3,70
4000	0,03	3,85
4100	0,03	3,82
4200	0,03	3,96
4300	0,03	4,00
4400	0,04	4,09
4500	0,04	4,17
4600	0,04	4,26
4700	0,04	4,32
4800	0,05	4,40
4900	0,05	4,47
5000	0,05	4,55
5100	0,05	4,63
5200	0,05	4,70
5300	0,05	4,76
5400	0,06	4,85
5500	0,06	4,91
5600	0,06	4,99
5700	0,06	5,07
5800	0,07	5,13
5900	0,07	5,20
6000	0,07	5,28
6100	0,07	5,35
6200	0,07	5,41
6300	0,08	5,47
6400	0,08	5,55
6500	0,09	5,63
6600	0,09	5,70
6700	0,09	5,76
6800	0,09	5,84
6900	0,09	5,90
7000	0,10	5,96
7100	0,10	6,04
7200	0,11	6,10
7300	0,10	6,16
7400	0,11	6,23
7500	0,12	6,29
7600	0,11	6,35
7700	0,12	6,43
7800	0,12	6,49
7900	0,13	6,55
8000	0,13	6,61
8100	0,13	6,69
8200	0,13	6,75
8300	0,14	6,81
8400	0,14	6,87
8500	0,15	6,93
8600	0,15	6,99
8700	0,16	7,05
8800	0,16	7,11
8900	0,17	7,17
9000	0,17	7,23
9100	0,17	7,29
9200	0,18	7,36
9300	0,19	7,42
9400	0,19	7,48
9500	0,19	7,54
9600	0,20	7,60
9700	0,21	7,66
9800	0,21	7,70
9900	0,22	7,76
10000	0,22	7,83
10100	0,22	7,89
10200	0,23	7,93
10300	0,24	7,99
10400	0,25	8,05
10500	0,25	8,11
10600	0,26	8,16
10700	0,26	8,22
10800	0,26	8,27
10900	0,27	8,33
11000	0,27	8,39
11100	0,28	8,43
11200	0,28	8,49
11300	0,29	8,55
11400	0,30	8,60
11500	0,30	8,66
11600	0,31	8,71
11700	0,31	8,75
11800	0,32	8,80
11900	0,32	8,86
12000	0,33	8,90
12100	0,34	8,96
12200	0,34	9,01
12300	0,35	9,07
12400	0,35	9,11
12500	0,36	9,16
12600	0,37	9,22
12700	0,38	9,27
12800	0,38	9,31
12900	0,39	9,36
13000	0,40	9,42
13100	0,40	9,46
13200	0,41	9,51
13300	0,42	9,55
13400	0,43	9,61
13500	0,44	9,65
13600	0,44	9,71
13700	0,45	9,75
13800	0,46	9,80
13900	0,47	9,84
14000	0,48	9,89
14100	0,49	9,93
14200	0,49	9,99
14300	0,50	10,02
14400	0,51	10,07
14500	0,51	10,12
14600	0,52	10,18
14700	0,53	10,21
14800	0,54	10,25
14900	0,54	10,31
15000	0,55	10,34
15100	0,56	10,40
15200	0,57	10,43
15300	0,57	10,48
15400	0,57	10,51
